Household_repeated_measure_Id	Household_Id	Collection date [EUPATH_0020003]	Anopheles arabiensis count, by PCR [EUPATH_0020263]	Anopheles dissected for parity count [EUPATH_0000194]	Anopheles gambiae sensu lato tested by PCR count [EUPATH_0020262]	Anopheles gambiae sensu stricto count, by PCR [EUPATH_0020264]	Anopheles nulliparous count [EUPATH_0000195]	Anopheles parous count [EUPATH_0000196]	Bloodfed Anopheles funestus count [EUPATH_0000192]	Bloodfed Anopheles gambiae count [EUPATH_0000193]	Bloodfed other Anopheles species count [EUPATH_0020082]	Collection end time [EUPATH_0020183]	Collection room number [EUPATH_0020178]	Collection start time [EUPATH_0020179]	Collection working [EUPATH_0020180]	Culex count [EUPATH_0020210]	Female Anopheles count [EUPATH_0000135]	Female Anopheles funestus count [EUPATH_0000136]	Female Anopheles gambiae count [EUPATH_0000137]	Gravid Anopheles funestus count [EUPATH_0000197]	Gravid Anopheles gambiae count [EUPATH_0000198]	Gravid or semigravid other Anopheles species count [EUPATH_0020086]	Other female Anopheles species count [EUPATH_0000200]	Unable to assess Anopheles funestus count [EUPATH_0000202]	Unable to assess Anopheles gambiae count [EUPATH_0000203]	Unable to assess other Anopheles species count [EUPATH_0020188]	Unfed Anopheles funestus count [EUPATH_0000204]	Unfed Anopheles gambiae count [EUPATH_0000205]	Unfed other Anopheles species count [EUPATH_0020197]
101008404211251	101008404	2017-10-30		0			0	0	0	0	0	12.07	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404211401	101008404	2017-11-14	1	3	1	0	1	2	0	0	0	13.95	1	19.000	Working	0	3	0	3	0	0	0	0	0	0	0	0	3	0
101008404211571	101008404	2017-12-01		1			0	1	0	1	0	12.28	1	19.000	Working	0	3	0	2	0	0	0	1	0	0	0	0	1	1
101008404211711	101008404	2017-12-15		0			0	0	0	0	0	13.98	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404211861	101008404	2017-12-30	2	1	2	0	0	1	0	0	0	13.40	1	19.000	Working	0	2	0	2	0	0	0	0	0	1	0	0	1	0
101008404212001	101008404	2018-01-13		0			0	0	0	0	0	13.63	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404212131	101008404	2018-01-26		0			0	0	0	0	0	13.83	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404212271	101008404	2018-02-09		0			0	0	0	0	0	13.75	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404212411	101008404	2018-02-23		0			0	0	0	0	0	13.58	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404212551	101008404	2018-03-09	5	1	5	0	0	1	0	1	0	12.58	1	19.000	Working	0	5	0	5	0	1	0	0	0	2	0	0	1	0
101008404212691	101008404	2018-03-23		1			1	0	0	0	0	13.70	1	19.000	Working	0	1	1	0	0	0	0	0	0	0	0	1	0	0
101008404212831	101008404	2018-04-06		0			0	0	0	1	0	13.47	1	19.000	Working	0	1	0	1	0	0	0	0	0	0	0	0	0	0
101008404212971	101008404	2018-04-20		1			1	0	0	0	0	13.62	1	19.000	Working	0	1	0	1	0	0	0	0	0	0	0	0	1	0
101008404213111	101008404	2018-05-04		20			15	5	0	0	0	13.58	1	19.000	Working	0	21	0	21	0	1	0	0	0	0	0	0	20	0
101008404213251	101008404	2018-05-18		3			0	3	0	0	0	14.22	1	19.000	Working	0	3	0	3	0	0	0	0	0	0	0	0	3	0
101008404213391	101008404	2018-06-01		11			3	8	0	1	0	12.48	1	19.000	Working	0	12	0	12	0	0	0	0	0	0	0	0	11	0
101008404213531	101008404	2018-06-15		4			2	2	0	0	0	13.53	1	19.000	Working	0	4	0	4	0	0	0	0	0	0	0	0	4	0
101008404213671	101008404	2018-06-29	1	2	1	0	1	1	0	1	0	13.60	1	19.000	Working	0	3	0	3	0	0	0	0	0	0	0	0	2	0
101008404213811	101008404	2018-07-13		1			0	1	0	0	0	13.72	1	19.000	Working	0	2	0	1	0	0	0	1	0	0	0	0	1	1
101008404213951	101008404	2018-07-27		0			0	0	0	0	0	13.68	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404214091	101008404	2018-08-10	1	0	1	0	0	0	0	1	0	11.83	1	19.000	Working	0	1	0	1	0	0	0	0	0	0	0	0	0	0
101008404214231	101008404	2018-08-24		0			0	0	0	0	0	13.63	1	19.000	Working	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101008404214371	101008404	2018-09-07		2			0	2	0	0	0	12.07	1	19.000	Working	0	3	0	2	0	0	0	1	0	0	0	0	2	1
101008404214531	101008404	2018-09-23	2	3	2	0	1	2	0	0	0	13.67	1	19.000	Working	0	3	0	3	0	0	0	0	0	0	0	0	3	0
101008404214651	101008404	2018-10-05		0			0	0	0	0	0	13.63	1	19.000	Working	0	1	0	1	0	1	0	0	0	0	0	0	0	0
101008404214791	101008404	2018-10-19	1	3	1	0	2	1	0	0	0	13.52	1	19.000	Working	0	3	0	3	0	0	0	0	0	0	0	0	3	0
