Household_Id	Acres [EUPATH_0000026]	Acres categorization [EUPATH_0020221]	Asked permission for IRS in last 12 months [EUPATH_0020224]	Bank account [EUPATH_0000167]	Bed [ENVO_00000501]	Bednet count [EUPATH_0020225]	Bednet count categorization [EUPATH_0020226]	Bednets per person count [EUPATH_0020227]	Bicycle [ENVO_01000614]	Boat with a motor [EUPATH_0000179]	Boat without a motor [EUPATH_0000170]	Car or truck [EUPATH_0000171]	Cassette player [ENVO_01000578]	Chair [ENVO_01000586]	Clock [ENVO_01000596]	Community health worker has malaria medication [EUPATH_0020229]	Community health worker present [EUPATH_0020230]	Cooking fuel [EUPATH_0000023]	Country [ENVO_00000009]	Cupboard [ENVO_01000595]	Drinking water source [ENVO_00003064]	Dwelling type [ENVO_01000744]	Eaves [ENVO_01000825]	Electricity [EUPATH_0021084]	Floor material [EUPATH_0000006]	Food problems per week [EUPATH_0000029]	Health facility distance (km) [EUPATH_0020213]	Health facility distance categorization [EUPATH_0020214]	Household bednets [EUPATH_0020232]	Household data collection date [EUPATH_0021085]	Household screening date [EUPATH_0020233]	Household status in PRISM1 [EUPATH_0020101]	Household wealth index, categorical [EUPATH_0000143]	Household wealth index, numerical [EUPATH_0000014]	Human waste facilities [EUPATH_0000335]	Internet device [EUPATH_0020205]	Last fumigation date [EUPATH_0000390]	Lighting source [OBI_0400065]	Long-lasting ITN bednet count [EUPATH_0000400]	Long-lasting ITN bednet count categorization [EUPATH_0020234]	Long-lasting ITNs per person count [EUPATH_0020235]	Market distance (km) [EUPATH_0020215]	Meals per day [EUPATH_0000027]	Meals per day categorization [EUPATH_0020237]	Meat meals per week [EUPATH_0000028]	Meat meals per week categorization [EUPATH_0020238]	Mobile phone [ENVO_01000581]	Motorcycle or scooter [ENVO_01000615]	One bednet per 2 people [EUPATH_0020219]	One long-lasting ITN per 2 people [EUPATH_0020220]	Persons enrolled in study count [EUPATH_0020247]	Persons living in house count [EUPATH_0000019]	Radio [ENVO_01000577]	Refrigerator [ENVO_01000583]	Roof material [EUPATH_0000003]	Sleeping places count [EUPATH_0000201]	Sleeping rooms in dwelling count [EUPATH_0000025]	Sleeping rooms with windows [EUPATH_0020171]	Sofa [ENVO_01000588]	Sprayed in the last 12 months [EUPATH_0000441]	Sprayed in the last 12 months categorization [EUPATH_0020250]	Table [ENVO_01000584]	Television [ENVO_01000579]	Time since last fumigation (days) [EUPATH_0020231]	Transit to health facility [EUPATH_0020217]	Wall material [EUPATH_0000009]	Watch [EUPATH_0000186]	Windows covered [EUPATH_0020212]
101008404	1	<=1	Yes	No	Yes	2	2	0.50	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Open public well	Traditional	Open	No	Earth and dung	Seldom	2.0	2 to <3 km	Yes	2017-10-16	2017-10-10	Not enrolled	Middle	0.529	Covered pit latrine no slab	No	2017-08-18	Torch/battery powered lamp	2	2	0.50	2.0	3	3 or more	2	2	Yes	No	Yes	Yes	4	4	No	No	Thatched (including papyrus)	2	1	Yes	No	Yes	0-3 months	Yes	No	59	Walking	Mud and poles	No	No
101009801	0	None	Yes	No	No	4	3 or more	1.00	No	No	No	No	No	Yes	No	Not applicable	No	Charcoal	Uganda	No	Borehole	Traditional	Closed	No	Earth and dung	Sometimes	0.5	<1 km	Yes	2017-10-07	2017-09-27	Enrolled	Poorest	-0.636	Covered pit latrine no slab	No	2017-07-27	Paraffin - wick lamp	4	3 or more	1.00	1.0	3	3 or more	1	1	Yes	No	Yes	Yes	4	4	Yes	No	Iron sheets	2	2	Yes	Yes	Yes	0-3 months	Yes	No	72	Walking	Burnt bricks with mud	Yes	Yes
102018901	5	>3	Yes	No	No	4	3 or more	0.67	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Borehole	Traditional	Closed	No	Earth and dung	Often	1.0	1 to <2 km	Yes	2017-10-24	2017-10-08	Not enrolled	Poorest	-1.234	Covered pit latrine w/slab	No	2017-08-18	Paraffin - wick lamp	4	3 or more	0.67	0.5	3	3 or more	0	None	Yes	No	Yes	Yes	5	5	No	No	Iron sheets	2	2	Yes	No	Yes	0-3 months	No	No	67	Car/motorcycle	Mud and poles	No	Yes
103007901	4.5	>3	Yes	No	Yes	4	3 or more	0.57	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Borehole	Traditional	Closed	Yes	Earth and dung	Sometimes	2.0	2 to <3 km	Yes	2017-10-15	2017-10-13	Not enrolled	Middle	0.357	Covered pit latrine no slab	No	2017-07-18	Paraffin - wick lamp	4	3 or more	0.57	2.0	3	3 or more	1	1	No	No	Yes	Yes	7	7	No	No	Iron sheets	4	2	Yes	No	Yes	0-3 months	Yes	No	89	Walking	Mud and poles	No	No
103015402	2	1-3	Yes	No	Yes	5	3 or more	0.71	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Borehole	Modern	Closed	No	Earth and dung	Sometimes	0.3	<1 km	Yes	2017-11-05	2017-10-19	Not enrolled	Least poor	1.830	Covered pit latrine no slab	No	2017-07-18	Solar	5	3 or more	0.71	4.0	3	3 or more	1	1	Yes	No	Yes	Yes	7	7	No	No	Iron sheets	5	3	Yes	No	Yes	4-6 months	Yes	No	110	Walking	Burnt bricks with plaster/cement	No	Yes
104003801	4	>3	No	No	Yes	4	3 or more	0.57	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Borehole	Traditional	Closed	No	Earth and dung	Sometimes	1.0	1 to <2 km	Yes	2017-11-08	2017-10-26	Not enrolled	Least poor	1.829	No facility/bush/field	No		Paraffin - wick lamp	4	3 or more	0.57	3.5	3	3 or more	1	1	Yes	No	Yes	Yes	7	7	Yes	No	Iron sheets	4	2	Yes	No	No	None	Yes	No		Walking	Burnt bricks with mud	No	Yes
104009403	2	1-3	Yes	No	Yes	7	3 or more	1.17	Yes	No	No	No	No	Yes	Yes	Not applicable	No	Firewood	Uganda	No	Borehole	Traditional	Closed	No	Earth and dung	Always	0.5	<1 km	Yes	2017-10-19	2017-10-14	Not enrolled	Least poor	0.909	Covered pit latrine no slab	No	2017-07-20	Paraffin - wick lamp	7	3 or more	1.17	2.5	2	2	0	None	No	Yes	Yes	Yes	6	6	Yes	No	Iron sheets	3	2	Yes	No	Yes	0-3 months	Yes	No	91	Walking	Burnt bricks with mud	No	No
105000101	4	>3	Yes	No	Yes	10	3 or more	1.43	No	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Open public well	Modern	Closed	No	Cement/concrete	Often	1.0	1 to <2 km	Yes	2017-10-15	2017-10-09	Not enrolled	Middle	-0.442	Covered pit latrine no slab	No	2017-07-19	Paraffin - hurricane lamp	10	3 or more	1.43	2.0	2	2	0	None	No	No	Yes	Yes	7	7	No	No	Iron sheets	6	2	Yes	No	Yes	0-3 months	Yes	No	88	Walking	Burnt bricks with plaster/cement	No	No
105006801	1	<=1	Yes	No	Yes	5	3 or more	1.00	Yes	No	No	No	No	Yes	No	Not applicable	No	Firewood	Uganda	No	Piped into yard/compound	Modern	Closed	No	Earth and dung	Often	1.0	1 to <2 km	Yes	2017-10-12	2017-10-03	Enrolled	Middle	0.358	Uncovered pit latrine no slab	No	2017-07-25	Paraffin - wick lamp	5	3 or more	1.00	3.0	2	2	3	3	Yes	No	Yes	Yes	5	5	No	No	Iron sheets	2	2	No	No	Yes	0-3 months	Yes	No	79	Walking	Burnt bricks with plaster/cement	No	Not applicable
107002801	4	>3	Yes	No	Yes	5	3 or more	1.00	Yes	No	No	No	Yes	Yes	No	Not applicable	No	Firewood	Uganda	No	Piped into yard/compound	Modern	Closed	Yes	Cement/concrete	Never	1.0	1 to <2 km	Yes	2017-10-30	2017-10-14	Not enrolled	Least poor	2.553	Covered pit latrine w/slab	No	2017-08-20	Electricity	5	3 or more	1.00	2.0	3	3 or more	2	2	Yes	Yes	Yes	Yes	5	5	Yes	No	Iron sheets	3	2	Yes	No	Yes	0-3 months	Yes	Yes	71	Walking	Burnt bricks with plaster/cement	No	Yes
