iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
OGMS_0000090	Treatment		Participant	Participant repeated measure											
EUPATH_0000310	Observation details		Participant	Participant repeated measure											
EUPATH_0000308	Hospitalization		Participant	Participant repeated measure											
OMRSE_00000142	Travel details		Participant	Participant repeated measure											EUPATH_0000340
EUPATH_0020254	Complicated malaria signs		Signs and symptoms	Participant repeated measure											
EUPATH_0020184	Severe malaria signs		Signs and symptoms	Participant repeated measure											
EUPATH_0021097	Personal vector intervention		Participant	Participant repeated measure											
OBI_0002926	CDC light trap		Mosquito trap	Participant repeated measure											
OBI_0002920	Mosquito trap		Participant	Participant repeated measure											
OGMS_0000015	Clinical history		Participant	Participant repeated measure											EUPATH_0021098
EUPATH_0000649	Anthropometry		Participant	Participant repeated measure											
EUPATH_0022066	Activity		Participant	Participant repeated measure											
EUPATH_0042004	Pregnancy		Obstetrics	Participant repeated measure											
EUPATH_0010981	Demographics		Participant	Participant repeated measure											
EUPATH_0021002	Symptoms		Signs and symptoms	Participant repeated measure											
EUPATH_0000309	Signs and symptoms		Participant	Participant repeated measure											
EUPATH_0042002	Obstetrics		Participant	Participant repeated measure											
OGMS_0000083	Physical examination		Participant	Participant repeated measure											
OGMS_0000073	Diagnosis		Participant	Participant repeated measure											
BFO_0000015	Observation type	string	Observation details	Participant repeated measure	Information about clincial history, anthropometry, vital signs, symptoms, samples, and treatment were collected at enrollment as well as routine and non-routine visits to the cinic. Information about sleeping habits and mosquito traps were collected at entomology visits to the participant's home, which occured every 2 weeks.							4	["Enrollment","Entomology","Non-routine","Routine"]	["visittype"]	
CMO_0000289	Respiratory rate	integer	Physical examination	Participant repeated measure		18	34	21.6666666666667	20	20	18	3	["18","20","34"]	["resprate"]	
EFO_0004326	Heart rate	integer	Physical examination	Participant repeated measure		59	110	78.9473684210526	78	95	62	14		["heartrate"]	
EUPATH_0000058	Antimalarial medication	string	Treatment	Participant repeated measure								4	["Artemether/lumefantrine - uncomplicated malaria and >14 days since last episode","Not applicable - no malaria diagnosed today","Quinine or IV artesunate - Complicated malaria and <=14 days since treatment with artemether/lumefantrine","Quinine or IV artesunate - Complicated malaria and >14 days since last episode"]	["malaria"]	EUPATH_0000740
EUPATH_0000059	Non-malaria medication	string	Treatment	Participant repeated measure								86	["Amoxicillin caps (250 mg)","Amoxicillin syrup (125 mg/ 5 ml)","Ampicillin","Ampiclox caps (500 mg)","Ampiclox syrup (250 mg/ 5 ml)","Aprinox (Bendrofluazide)","Artenum/Artemether (25mg)","Artesunate","Atenolol","Azithromycin","Benzathine penicillin injection (2.4 mu)","Benzyl Penicillin injecion","Betamethasone  skin cream (1%)","Betamethasone/neomycin eye drops","Bisacodyl tablets (5 mg)","Bromocriptine","Burnem cream","Calamine lotion","Cefixime","Ceftriaxone injection (1 g)","Cefuroxime","Cephalexin syrup (125mg/5ml)","Cetrizine tablets (10 mg)","Chloramphenicol eye/ear drops (1%)","Chloramphenicol injection","Chlorpheniramine tablets (4 mg)","Ciprofloxacin tablets (500 mg)","Clotrimazole mouth paint","Clotrimazole Pessary (100 mg)","Clotrimazole skin cream (1%)","Coartem (Artemether-lumefantrine)","Cough expectorant","Cough linctus","Dexamethasone","Dexona eye/ear drops","Dextrose solution (5%)","Dextrose solution (50%)","Diclofenac gel","Diclofenac injection (75mg/2ml)","Diclofenac tablets (50 mg)","Diphenhydramine tablets","Doxycycline","ERHZ - ethambutol/rifampicin/isoniazid/pyrazinamide","Erythromycin tablets (250 mg)","Ferrous sulfate/Folic acid","Fluconazole caps (50, 100, 150 mg)","Folic Acid tablets (1 mg)","Gentamicin eye/ear drops","Gentamicin injection (80 mg/ 2 ml)","Griseofulvin tablets (500 mg)","Haemoforte syrup","Hydrocortisone injection","Ibuprofen","Imipramine tablets (50 mg)","Ketoconazole","Lasix","Magnesium sulfate, injectable","Magnesium triscilicate suspension","Magnesium triscilicate tablets (120 mg)","Mebendazole tablets (100 mg)","Metoclopramide tablets (10 mg)","Metronidazole injection","Metronidazole syrup (200mg/5mL)","Metronidazole tablets (200 mg)","Multivitamin","Nifedipine","Nitrofurantoin","Normal saline solution (0.90%)","Omeprazole (20mg)","Oracure gel","ORS","Paracetamol","Piritex syrup","Prednisolone tablets (5 mg)","Promethazine tablets (25 mg)","Quinine injection (300 mg/ 2 ml)","Ringer's lactate solution","Salbutamol tablets (4 mg)","Tenofovir/Lamivudine (TDF/3TC) (300/300)","Tetracycline eye ointment","Tramadol","Trimethoprim-Sulfamethoxazole (TS)","Vitamin A caps (200000 iu)","Vitamin B complex","Vitamin C / Ascorbic Acid tablets (300 mg)","Zinc gluconate"]	["med6code","med7code","med5code","med4code","med8code","med3code","med1code","med2code"]	
